dataset,task,metric,fold,model,value
evons,disinformation,precision,1,logreg_mistral,0.9778380289991748
evons,disinformation,recall,1,logreg_mistral,0.9696084161309176
evons,disinformation,auc,1,logreg_mistral,0.9971916655377168
evons,disinformation,accuracy,2,logreg_mistral,0.9739163170915349
evons,disinformation,f1,2,logreg_mistral,0.9715225177617286
evons,disinformation,precision,2,logreg_mistral,0.9760500235960359
evons,disinformation,recall,2,logreg_mistral,0.9670368205727644
evons,disinformation,auc,2,logreg_mistral,0.9968596116291991
evons,disinformation,accuracy,3,logreg_mistral,0.9770893836721523
evons,disinformation,f1,3,logreg_mistral,0.9749441242206799
evons,disinformation,precision,3,logreg_mistral,0.9811767491417072
evons,disinformation,recall,3,logreg_mistral,0.9687901811805961
evons,disinformation,auc,3,logreg_mistral,0.997506626552704
evons,disinformation,accuracy,4,logreg_mistral,0.973109605249005
evons,disinformation,f1,4,logreg_mistral,0.9705882352941176
evons,disinformation,precision,4,logreg_mistral,0.9769094138543517
evons,disinformation,recall,4,logreg_mistral,0.9643483343074225
evons,disinformation,auc,4,logreg_mistral,0.9969216606957005
evons,disinformation,accuracy,5,logreg_mistral,0.9745079057760568
evons,disinformation,f1,5,logreg_mistral,0.9721307619943556
evons,disinformation,precision,5,logreg_mistral,0.9779959777593754
evons,disinformation,recall,5,logreg_mistral,0.9663354763296318
evons,disinformation,auc,5,logreg_mistral,0.9971359739098172
evons,disinformation,accuracy,6,logreg_mistral,0.9761213294611165
evons,disinformation,f1,6,logreg_mistral,0.9739252995066948
evons,disinformation,precision,6,logreg_mistral,0.9786380266729612
evons,disinformation,recall,6,logreg_mistral,0.9692577440093513
evons,disinformation,auc,6,logreg_mistral,0.9974777968494466
evons,disinformation,accuracy,7,logreg_mistral,0.9752608368290846
evons,disinformation,f1,7,logreg_mistral,0.9729602633435223
evons,disinformation,precision,7,logreg_mistral,0.9785976114461393
evons,disinformation,recall,7,logreg_mistral,0.9673874926943308
evons,disinformation,auc,7,logreg_mistral,0.9973017563472069
evons,disinformation,accuracy,8,logreg_mistral,0.9746692481445628
evons,disinformation,f1,8,logreg_mistral,0.9723283003348805
evons,disinformation,precision,8,logreg_mistral,0.9774391684384597
evons,disinformation,recall,8,logreg_mistral,0.967270601987142
evons,disinformation,auc,8,logreg_mistral,0.9969072109130908
evons,disinformation,accuracy,9,logreg_mistral,0.9744003441970528
evons,disinformation,f1,9,logreg_mistral,0.9720657276995305
evons,disinformation,precision,9,logreg_mistral,0.9760754272245139
evons,disinformation,recall,9,logreg_mistral,0.9680888369374635
evons,disinformation,auc,9,logreg_mistral,0.9972719835074535
evons,disinformation,accuracy,10,logreg_mistral,0.973486070775519
evons,disinformation,f1,10,logreg_mistral,0.9710255656773435
evons,disinformation,precision,10,logreg_mistral,0.9764775413711584
evons,disinformation,recall,10,logreg_mistral,0.9656341320864992
evons,disinformation,auc,10,logreg_mistral,0.9969406515058833
evons,disinformation,accuracy,1,rf_mistral,0.9342260944390663
evons,disinformation,f1,1,rf_mistral,0.9256127972751049
evons,disinformation,precision,1,rf_mistral,0.9648744610702511
evons,disinformation,recall,1,rf_mistral,0.8894213909994155
evons,disinformation,auc,1,rf_mistral,0.9852987900082723
evons,disinformation,accuracy,2,rf_mistral,0.9289017962783693
evons,disinformation,f1,2,rf_mistral,0.9194393662400975
evons,disinformation,precision,2,rf_mistral,0.9604073838319541
evons,disinformation,recall,2,rf_mistral,0.881823495032145
evons,disinformation,auc,2,rf_mistral,0.9836011093846797
evons,disinformation,accuracy,3,rf_mistral,0.9322899860169948
evons,disinformation,f1,3,rf_mistral,0.9235626252200838
evons,disinformation,precision,3,rf_mistral,0.9608388074785245
evons,disinformation,recall,3,rf_mistral,0.8890707188778492
evons,disinformation,auc,3,rf_mistral,0.9845865181898138
evons,disinformation,accuracy,4,rf_mistral,0.9299236312789072
evons,disinformation,f1,4,rf_mistral,0.9205439356058296
evons,disinformation,precision,4,rf_mistral,0.9622641509433962
evons,disinformation,recall,4,rf_mistral,0.8822910578609
evons,disinformation,auc,4,rf_mistral,0.9836373619214696
evons,disinformation,accuracy,5,rf_mistral,0.9304614391739271
evons,disinformation,f1,5,rf_mistral,0.9212881232117854
evons,disinformation,precision,5,rf_mistral,0.961255081300813
evons,disinformation,recall,5,rf_mistral,0.8845119812974869
evons,disinformation,auc,5,rf_mistral,0.983478257123344
evons,disinformation,accuracy,6,rf_mistral,0.9319135204904808
evons,disinformation,f1,6,rf_mistral,0.9227294921875
evons,disinformation,precision,6,rf_mistral,0.9655128368884915
evons,disinformation,recall,6,rf_mistral,0.8835768556399767
evons,disinformation,auc,6,rf_mistral,0.9851495182813911
evons,disinformation,accuracy,7,rf_mistral,0.9284715499623535
evons,disinformation,f1,7,rf_mistral,0.9187538179596824
evons,disinformation,precision,7,rf_mistral,0.9622520793346129
evons,disinformation,recall,7,rf_mistral,0.8790181180596143
evons,disinformation,auc,7,rf_mistral,0.9841218197015275
evons,disinformation,accuracy,8,rf_mistral,0.9323437668064967
evons,disinformation,f1,8,rf_mistral,0.9235537190082644
evons,disinformation,precision,8,rf_mistral,0.9617769902543982
evons,disinformation,recall,8,rf_mistral,0.8882524839275278
evons,disinformation,auc,8,rf_mistral,0.9844201069947602
evons,disinformation,accuracy,9,rf_mistral,0.9328815747015167
evons,disinformation,f1,9,rf_mistral,0.9241060569204573
evons,disinformation,precision,9,rf_mistral,0.9631131955887945
evons,disinformation,recall,9,rf_mistral,0.888135593220339
evons,disinformation,auc,9,rf_mistral,0.9848790768021083
evons,disinformation,accuracy,10,rf_mistral,0.9300311928579111
evons,disinformation,f1,10,rf_mistral,0.9204913524414838
evons,disinformation,precision,10,rf_mistral,0.9645235655737705
evons,disinformation,recall,10,rf_mistral,0.8803039158386908
evons,disinformation,auc,10,rf_mistral,0.983603583662524
evons,disinformation,accuracy,1,xgboost_mistral,0.9612778315585673
evons,disinformation,f1,1,xgboost_mistral,0.9575371549893843
evons,disinformation,precision,1,xgboost_mistral,0.966313534103083
evons,disinformation,recall,1,xgboost_mistral,0.9489187609585038
evons,disinformation,auc,1,xgboost_mistral,0.993828894896112
evons,disinformation,accuracy,2,xgboost_mistral,0.9594492847154996
evons,disinformation,f1,2,xgboost_mistral,0.9553951727401798
evons,disinformation,precision,2,xgboost_mistral,0.9671816984069949
evons,disinformation,recall,2,xgboost_mistral,0.9438924605493864
evons,disinformation,auc,2,xgboost_mistral,0.9932021923382502
evons,disinformation,accuracy,3,xgboost_mistral,0.9602022157685275
evons,disinformation,f1,3,xgboost_mistral,0.9563112528043453
evons,disinformation,precision,3,xgboost_mistral,0.9661219133961589
evons,disinformation,recall,3,xgboost_mistral,0.946697837521917
evons,disinformation,auc,3,xgboost_mistral,0.9933267969704825
evons,disinformation,accuracy,4,xgboost_mistral,0.9590728191889857
evons,disinformation,f1,4,xgboost_mistral,0.955026298682111
evons,disinformation,precision,4,xgboost_mistral,0.9658140090843892
