dataset,task,metric,model_a,model_b,n_folds,n_repeats,n_signflip_units,mean_diff,ci_low,ci_high,effect_size,p_value,min_possible_p,p_value_holm,holm_threshold_005,holm_feasible_005,min_folds_for_holm_005,significant_holm_005
evons,disinformation,auc,rf_bert,rf_mistral,5,1,5,0.004814196454762021,0.003936449265724495,0.00571498923392375,1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,auc,rf_bert,xgboost_bert,5,1,5,-0.0075105931421836965,-0.00792361917515938,-0.006968009461596059,-1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,auc,rf_bert,xgboost_mistral,5,1,5,-0.004281369207946861,-0.0046711811879020185,-0.003713387020721681,-1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,auc,rf_mistral,xgboost_bert,5,1,5,-0.012324789596945718,-0.012706101435273153,-0.011849377210641854,-1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,auc,rf_mistral,xgboost_mistral,5,1,5,-0.009095565662708882,-0.009448041425630826,-0.008562063959985267,-1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,auc,xgboost_bert,xgboost_mistral,5,1,5,0.0032292239342368357,0.003111087183740735,0.0033238021510032744,1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,f1,logreg_bert,logreg_mistral,5,1,5,-0.0037082555371943824,-0.004722876452242786,-0.002911092764554013,-1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,f1,logreg_bert,mlp_bert,5,1,5,-0.0138201865217638,-0.016095734720685394,-0.011981114480663612,-1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,f1,logreg_bert,mlp_mistral,5,1,5,-0.01823891469027026,-0.02042544638831707,-0.015634948406024685,-1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,f1,logreg_bert,rf_bert,5,1,5,0.02528171917965887,0.022818197299631325,0.027445943498043725,1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,f1,logreg_bert,rf_mistral,5,1,5,0.047545927183449785,0.04476848817106873,0.05006350583409598,1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,f1,logreg_bert,xgboost_bert,5,1,5,-0.0004859912233385444,-0.0013609034753151005,0.00022497194204229576,-0.12,0.375,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,f1,logreg_bert,xgboost_mistral,5,1,5,0.014126041509524878,0.012699106873844412,0.015767171678454428,1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,f1,logreg_mistral,mlp_bert,5,1,5,-0.010111930984569417,-0.011375225614554152,-0.009109606786214575,-1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,f1,logreg_mistral,mlp_mistral,5,1,5,-0.014530659153075876,-0.01612566886322424,-0.012439633298433317,-1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,f1,logreg_mistral,rf_bert,5,1,5,0.028989974716853252,0.026587683265790706,0.030641754787998354,1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,f1,logreg_mistral,rf_mistral,5,1,5,0.05125418272064417,0.04945942390691786,0.053054335468248094,1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,f1,logreg_mistral,xgboost_bert,5,1,5,0.0032222643138558383,0.0027936836495611184,0.003652261056925821,1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,f1,logreg_mistral,xgboost_mistral,5,1,5,0.01783429704671926,0.017026190442095544,0.01880678775222757,1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,f1,mlp_bert,mlp_mistral,5,1,5,-0.004418728168506458,-0.005744161252196856,-0.002545584978486226,-0.76,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,f1,mlp_bert,rf_bert,5,1,5,0.03910190570142267,0.03640247544710569,0.04136126906908231,1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,f1,mlp_bert,rf_mistral,5,1,5,0.06136611370521359,0.06055764529026011,0.06224745793126081,1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
